severity,rule,file,line,column,message
error,uri_does_not_exist,test/navigation/test_navigation_test.dart,4,8,"Target of URI doesn't exist: 'package:preference_frontend/main.dart'"
error,invalid_constant,test/navigation/test_navigation_test.dart,40,18,"Invalid constant value"
error,undefined_function,test/navigation/test_navigation_test.dart,40,18,"The function 'MyApp' isn't defined"
error,creation_with_non_type,test/navigation/test_navigation_test.dart,92,31,"The name 'MyHomePage' isn't a class"
error,invalid_constant,test/navigation/test_navigation_test.dart,137,18,"Invalid constant value"
error,undefined_function,test/navigation/test_navigation_test.dart,137,18,"The function 'MyApp' isn't defined"
error,invalid_constant,test/navigation/test_navigation_test.dart,172,18,"Invalid constant value"
error,undefined_function,test/navigation/test_navigation_test.dart,172,18,"The function 'MyApp' isn't defined"
error,uri_does_not_exist,test/screens/filter_screen_test.dart,3,8,"Target of URI doesn't exist: 'package:preference_frontend/models/filter_criteria.dart'"
error,uri_does_not_exist,test/screens/filter_screen_test.dart,4,8,"Target of URI doesn't exist: 'package:preference_frontend/screens/filter_screen.dart'"
error,uri_does_not_exist,test/screens/filter_screen_test.dart,5,8,"Target of URI doesn't exist: 'package:preference_frontend/state/filter_provider.dart'"
error,non_type_as_type_argument,test/screens/filter_screen_test.dart,11,30,"The name 'FilterProvider' isn't a type, so it can't be used as a type argument"
error,undefined_function,test/screens/filter_screen_test.dart,11,61,"The function 'FilterProvider' isn't defined"
error,creation_with_non_type,test/screens/filter_screen_test.dart,19,34,"The name 'FilterScreen' isn't a class"
error,non_type_as_type_argument,test/screens/filter_screen_test.dart,49,34,"The name 'FilterProvider' isn't a type, so it can't be used as a type argument"
error,non_type_as_type_argument,test/screens/filter_screen_test.dart,70,34,"The name 'FilterProvider' isn't a type, so it can't be used as a type argument"
error,creation_with_non_type,test/screens/filter_screen_test.dart,75,40,"The name 'Range' isn't a class"
error,creation_with_non_type,test/screens/filter_screen_test.dart,76,40,"The name 'Range' isn't a class"
error,uri_does_not_exist,test/state/filter_provider_test.dart,2,8,"Target of URI doesn't exist: 'package:preference_frontend/models/filter_criteria.dart'"
error,uri_does_not_exist,test/state/filter_provider_test.dart,3,8,"Target of URI doesn't exist: 'package:preference_frontend/state/filter_provider.dart'"
error,undefined_function,test/state/filter_provider_test.dart,8,24,"The function 'FilterProvider' isn't defined"
error,creation_with_non_type,test/state/filter_provider_test.dart,14,39,"The name 'FilterCriteria' isn't a class"
error,creation_with_non_type,test/state/filter_provider_test.dart,16,33,"The name 'FilterCriteria' isn't a class"
error,undefined_function,test/state/filter_provider_test.dart,17,22,"The function 'Range' isn't defined"
error,undefined_function,test/state/filter_provider_test.dart,18,22,"The function 'Range' isn't defined"
error,non_type_as_type_argument,test/state/filter_provider_test.dart,19,17,"The name 'Race' isn't a type, so it can't be used as a type argument"
error,undefined_identifier,test/state/filter_provider_test.dart,19,23,"Undefined name 'Race'"
error,non_type_as_type_argument,test/state/filter_provider_test.dart,20,22,"The name 'HairColor' isn't a type, so it can't be used as a type argument"
error,undefined_identifier,test/state/filter_provider_test.dart,20,33,"Undefined name 'HairColor'"
error,non_type_as_type_argument,test/state/filter_provider_test.dart,21,21,"The name 'Religion' isn't a type, so it can't be used as a type argument"
error,undefined_identifier,test/state/filter_provider_test.dart,21,31,"Undefined name 'Religion'"
error,undefined_identifier,test/state/filter_provider_test.dart,29,32,"Undefined name 'HairColor'"
error,undefined_identifier,test/state/filter_provider_test.dart,30,52,"Undefined name 'HairColor'"
error,undefined_identifier,test/state/filter_provider_test.dart,34,27,"Undefined name 'Race'"
error,undefined_identifier,test/state/filter_provider_test.dart,35,47,"Undefined name 'Race'"
error,creation_with_non_type,test/state/filter_provider_test.dart,39,40,"The name 'Range' isn't a class"
error,creation_with_non_type,test/state/filter_provider_test.dart,40,51,"The name 'Range' isn't a class"
error,creation_with_non_type,test/state/filter_provider_test.dart,43,40,"The name 'Range' isn't a class"
error,creation_with_non_type,test/state/filter_provider_test.dart,44,51,"The name 'Range' isn't a class"
error,creation_with_non_type,test/state/filter_provider_test.dart,49,39,"The name 'FilterCriteria' isn't a class"
error,uri_does_not_exist,test/widget_test.dart,2,8,"Target of URI doesn't exist: 'package:preference_frontend/main.dart'"
error,creation_with_non_type,test/widget_test.dart,6,35,"The name 'MyApp' isn't a class"
error,uri_does_not_exist,test/widgets/test_main_widgets_test.dart,3,8,"Target of URI doesn't exist: 'package:preference_frontend/main.dart'"
error,creation_with_non_type,test/widgets/test_main_widgets_test.dart,9,37,"The name 'MyApp' isn't a class"
error,creation_with_non_type,test/widgets/test_main_widgets_test.dart,17,37,"The name 'MyApp' isn't a class"
error,creation_with_non_type,test/widgets/test_main_widgets_test.dart,23,37,"The name 'MyApp' isn't a class"
error,creation_with_non_type,test/widgets/test_main_widgets_test.dart,30,37,"The name 'MyApp' isn't a class"
